bins [deg^2] 	 bin_centers [deg^2] 	 signal_prediction 	 background_prediction 	 counts_exp
0.000 	         0.165 	                 27.880 	         45.740 	         76
0.330 	         0.495 	                 12.150 	         45.770 	         52
0.660 	         0.825 	                  6.690 	         44.285 	         55
0.990 	         1.155 	                  5.135 	         45.255 	         51
1.320 	         1.485 	                  3.670 	         45.360 	         42
1.650 	         1.815 	                  2.910 	         44.390 	         47
1.980 	         2.145 	                  2.005 	         44.705 	         47
2.310 	         2.475 	                  1.950 	         44.150 	         50
2.640 	         2.805 	                  1.560 	         44.610 	         48
2.970 	         3.135 	                  1.285 	         44.045 	         40
3.300 	         3.465 	                  1.120 	         42.910 	         42
3.630 	         3.795 	                  1.005 	         44.310 	         50
3.960 	         4.125 	                  0.765 	         43.375 	         47
4.290 	         4.455 	                  0.795 	         45.085 	         36
4.620 	         4.785 	                  0.640 	         43.310 	         43
