Energy [GeV] 	 E^2.flux (best-fit) [TeVcm^(-2)s^(-1)] 	 E^2.flux (95%-low) [TeVcm^(-2)s^(-1)] 	 E^2.flux (95%-up) [TeVcm^(-2)s^(-1)]
1500.000000000 	 3.104250933e-11 	                  1.046721186e-11 	                  5.222867575e-11
1517.456969649 	 3.061626297e-11 	                  1.037980576e-11 	                  5.142985616e-11
1535.117103158 	 3.019586943e-11 	                  1.029249539e-11 	                  5.064426637e-11
1552.982764943 	 2.978124833e-11 	                  1.020591943e-11 	                  4.987308962e-11
1571.056346939 	 2.937232041e-11 	                  1.012007171e-11 	                  4.911409902e-11
1589.340268916 	 2.896900751e-11 	                  1.003494610e-11 	                  4.836679435e-11
1607.836978808 	 2.857123252e-11 	                  9.950536537e-12 	                  4.763441381e-11
1626.548953034 	 2.817891940e-11 	                  9.866836986e-12 	                  4.691312313e-11
1645.478696839 	 2.779199314e-11 	                  9.783841479e-12 	                  4.620626711e-11
1664.628744618 	 2.741037980e-11 	                  9.701544094e-12 	                  4.551012393e-11
1684.001660266 	 2.703400641e-11 	                  9.619544969e-12 	                  4.482781841e-11
1703.600037515 	 2.666280102e-11 	                  9.537891346e-12 	                  4.415586030e-11
1723.426500281 	 2.629669267e-11 	                  9.456930824e-12 	                  4.349729580e-11
1743.483703020 	 2.593561138e-11 	                  9.376657519e-12 	                  4.284859810e-11
1763.774331078 	 2.557948811e-11 	                  9.297065599e-12 	                  4.221031845e-11
1784.301101055 	 2.522825479e-11 	                  9.218149278e-12 	                  4.158311411e-11
1805.066761166 	 2.488184427e-11 	                  9.139902824e-12 	                  4.096613411e-11
1826.074091609 	 2.454019034e-11 	                  9.061993713e-12 	                  4.035979961e-11
1847.325904939 	 2.420322767e-11 	                  8.984377368e-12 	                  3.976404775e-11
1868.825046443 	 2.387089186e-11 	                  8.907425810e-12 	                  3.917890206e-11
1890.574394520 	 2.354311936e-11 	                  8.831133346e-12 	                  3.860356912e-11
1912.576861070 	 2.321984753e-11 	                  8.755494329e-12 	                  3.803891984e-11
1934.835391880 	 2.290101456e-11 	                  8.680503164e-12 	                  3.748322822e-11
1957.352967022 	 2.258655950e-11 	                  8.606154301e-12 	                  3.693578472e-11
1980.132601247 	 2.227642225e-11 	                  8.532442239e-12 	                  3.639695765e-11
2003.177344395 	 2.197054350e-11 	                  8.458980384e-12 	                  3.586802859e-11
2026.490281797 	 2.166886479e-11 	                  8.385879810e-12 	                  3.534748650e-11
2050.074534693 	 2.137132845e-11 	                  8.313347936e-12 	                  3.483650473e-11
2073.933260647 	 2.107787759e-11 	                  8.240874295e-12 	                  3.433430966e-11
2098.069653971 	 2.078845613e-11 	                  8.169026265e-12 	                  3.384059336e-11
2122.486946152 	 2.050300873e-11 	                  8.097804642e-12 	                  3.335427848e-11
2147.188406285 	 2.022148082e-11 	                  8.027203965e-12 	                  3.287571505e-11
2172.177341512 	 1.994381858e-11 	                  7.957218819e-12 	                  3.240548085e-11
