Energy [GeV] 	 E^2.flux (best-fit) [TeVcm^(-2)s^(-1)] 	 E^2.flux (68%-low) [TeVcm^(-2)s^(-1)] 	 E^2.flux (68%-up) [TeVcm^(-2)s^(-1)]
1500.000000000 	 3.104250933e-11 	                  1.816957400e-11 	                  4.398178815e-11
1517.456969649 	 3.061626297e-11 	                  1.797356391e-11 	                  4.332251183e-11
1535.117103158 	 3.019586943e-11 	                  1.777966834e-11 	                  4.267589031e-11
1552.982764943 	 2.978124833e-11 	                  1.758736225e-11 	                  4.203944266e-11
1571.056346939 	 2.937232041e-11 	                  1.739628649e-11 	                  4.141248669e-11
1589.340268916 	 2.896900751e-11 	                  1.720728664e-11 	                  4.079561464e-11
1607.836978808 	 2.857123252e-11 	                  1.702034017e-11 	                  4.018892988e-11
1626.548953034 	 2.817891940e-11 	                  1.683542475e-11 	                  3.959263578e-11
1645.478696839 	 2.779199314e-11 	                  1.665251832e-11 	                  3.900518905e-11
1664.628744618 	 2.741037980e-11 	                  1.647159905e-11 	                  3.842692077e-11
1684.001660266 	 2.703400641e-11 	                  1.629204438e-11 	                  3.785970017e-11
1703.600037515 	 2.666280102e-11 	                  1.611379424e-11 	                  3.730085232e-11
1723.426500281 	 2.629669267e-11 	                  1.593745995e-11 	                  3.675167167e-11
1743.483703020 	 2.593561138e-11 	                  1.576186933e-11 	                  3.621198203e-11
1763.774331078 	 2.557948811e-11 	                  1.558821328e-11 	                  3.568021761e-11
1784.301101055 	 2.522825479e-11 	                  1.541647048e-11 	                  3.515882611e-11
1805.066761166 	 2.488184427e-11 	                  1.524661986e-11 	                  3.464520835e-11
1826.074091609 	 2.454019034e-11 	                  1.507818188e-11 	                  3.413955939e-11
1847.325904939 	 2.420322767e-11 	                  1.491098235e-11 	                  3.364279741e-11
1868.825046443 	 2.387089186e-11 	                  1.474555963e-11 	                  3.315362817e-11
1890.574394520 	 2.354311936e-11 	                  1.458197211e-11 	                  3.267183193e-11
1912.576861070 	 2.321984753e-11 	                  1.442019944e-11 	                  3.219703727e-11
1934.835391880 	 2.290101456e-11 	                  1.425950136e-11 	                  3.172997367e-11
1957.352967022 	 2.258655950e-11 	                  1.410021483e-11 	                  3.127128650e-11
1980.132601247 	 2.227642225e-11 	                  1.394257622e-11 	                  3.081935237e-11
2003.177344395 	 2.197054350e-11 	                  1.378576291e-11 	                  3.037618003e-11
2026.490281797 	 2.166886479e-11 	                  1.363071330e-11 	                  2.993938037e-11
2050.074534693 	 2.137132845e-11 	                  1.347640753e-11 	                  2.951083415e-11
2073.933260647 	 2.107787759e-11 	                  1.332380600e-11 	                  2.908872915e-11
2098.069653971 	 2.078845613e-11 	                  1.317293247e-11 	                  2.867278047e-11
2122.486946152 	 2.050300873e-11 	                  1.302376513e-11 	                  2.826297268e-11
2147.188406285 	 2.022148082e-11 	                  1.287616878e-11 	                  2.785995247e-11
2172.177341512 	 1.994381858e-11 	                  1.272937887e-11 	                  2.746358618e-11
2197.457097461 	 1.966996894e-11 	                  1.258426239e-11 	                  2.707285904e-11
2223.031058698 	 1.939987954e-11 	                  1.244036111e-11 	                  2.668841159e-11
2248.902649179 	 1.913349876e-11 	                  1.229666280e-11 	                  2.631074921e-11
2275.075332706 	 1.887077566e-11 	                  1.215459774e-11 	                  2.593913183e-11
2301.552613395 	 1.861166003e-11 	                  1.201417397e-11 	                  2.557405163e-11
2328.338036141 	 1.835610233e-11 	                  1.187442879e-11 	                  2.521410975e-11
2355.435187094 	 1.810405371e-11 	                  1.173527469e-11 	                  2.485923387e-11
2382.847694142 	 1.785546598e-11 	                  1.159728641e-11 	                  2.450943081e-11
2410.579227392 	 1.761029162e-11 	                  1.146063999e-11 	                  2.416455790e-11
2438.633499666 	 1.736848376e-11 	                  1.132487499e-11 	                  2.382602854e-11
2467.014266992 	 1.712999618e-11 	                  1.118917677e-11 	                  2.349251164e-11
2495.725329114 	 1.689478329e-11 	                  1.105391628e-11 	                  2.316545196e-11
2524.770529996 	 1.666280012e-11 	                  1.092029089e-11 	                  2.284294556e-11
2554.153758339 	 1.643400232e-11 	                  1.078790873e-11 	                  2.252555916e-11
2583.878948098 	 1.620834615e-11 	                  1.065680499e-11 	                  2.221299198e-11
2613.950079014 	 1.598578848e-11 	                  1.052716529e-11 	                  2.190505265e-11
2644.371177144 	 1.576628676e-11 	                  1.039817515e-11 	                  2.160176520e-11
2675.146315398 	 1.554979904e-11 	                  1.027005402e-11 	                  2.130267693e-11
2706.279614088 	 1.533628391e-11 	                  1.014339457e-11 	                  2.100891708e-11
2737.775241479 	 1.512570058e-11 	                  1.001729831e-11 	                  2.072016555e-11
2769.637414343 	 1.491800877e-11 	                  9.891994216e-12 	                  2.043633566e-11
2801.870398531 	 1.471316880e-11 	                  9.768072462e-12 	                  2.015640223e-11
2834.478509537 	 1.451114149e-11 	                  9.644966435e-12 	                  1.988040292e-11
2867.466113079 	 1.431188823e-11 	                  9.522307906e-12 	                  1.960818283e-11
2900.837625683 	 1.411537093e-11 	                  9.399980921e-12 	                  1.933969022e-11
2934.597515276 	 1.392155201e-11 	                  9.278575743e-12 	                  1.907570747e-11
2968.750301780 	 1.373039444e-11 	                  9.157856848e-12 	                  1.881653976e-11
3003.300557723 	 1.354186166e-11 	                  9.037639951e-12 	                  1.856176004e-11
3038.252908846 	 1.335591763e-11 	                  8.918338532e-12 	                  1.831043009e-11
3073.612034724 	 1.317252681e-11 	                  8.799040133e-12 	                  1.806251448e-11
3109.382669393 	 1.299165414e-11 	                  8.680122335e-12 	                  1.781803877e-11
3145.569601985 	 1.281326504e-11 	                  8.561701733e-12 	                  1.757687203e-11
3182.177677366 	 1.263732541e-11 	                  8.443468506e-12 	                  1.733990395e-11
3219.211796788 	 1.246380162e-11 	                  8.325583588e-12 	                  1.710736142e-11
3256.676918542 	 1.229266049e-11 	                  8.208197874e-12 	                  1.687833676e-11
3294.578058625 	 1.212386931e-11 	                  8.091255017e-12 	                  1.665237817e-11
3332.920291409 	 1.195739582e-11 	                  7.974664416e-12 	                  1.642947833e-11
3371.708750323 	 1.179320817e-11 	                  7.858355762e-12 	                  1.620960332e-11
3410.948628537 	 1.163127500e-11 	                  7.742653324e-12 	                  1.599267550e-11
3450.645179659 	 1.147156534e-11 	                  7.627353565e-12 	                  1.577986238e-11
3490.803718441 	 1.131404866e-11 	                  7.513163364e-12 	                  1.557093269e-11
3531.429621484 	 1.115869486e-11 	                  7.399667082e-12 	                  1.536476928e-11
3572.528327964 	 1.100547422e-11 	                  7.287207454e-12 	                  1.516138062e-11
3614.105340359 	 1.085435746e-11 	                  7.175900503e-12 	                  1.496072340e-11
3656.166225183 	 1.070531570e-11 	                  7.065485454e-12 	                  1.476285770e-11
3698.716613734 	 1.055832044e-11 	                  6.956194100e-12 	                  1.456860235e-11
3741.762202845 	 1.041334358e-11 	                  6.848221518e-12 	                  1.437701879e-11
3785.308755652 	 1.027035740e-11 	                  6.741257432e-12 	                  1.418860379e-11
3829.362102359 	 1.012933457e-11 	                  6.635726887e-12 	                  1.400265802e-11
3873.928141024 	 9.990248135e-12 	                  6.531139961e-12 	                  1.381933406e-11
3919.012838345 	 9.853071503e-12 	                  6.428046787e-12 	                  1.363854949e-11
3964.622230461 	 9.717778451e-12 	                  6.326004756e-12 	                  1.346031517e-11
4010.762423760 	 9.584343115e-12 	                  6.225339352e-12 	                  1.328525549e-11
4057.439595695 	 9.452739987e-12 	                  6.125872103e-12 	                  1.311248625e-11
4104.659995612 	 9.322943908e-12 	                  6.027621089e-12 	                  1.294231970e-11
4152.429945588 	 9.194930067e-12 	                  5.930945894e-12 	                  1.277436147e-11
4200.755841275 	 9.068673990e-12 	                  5.835412469e-12 	                  1.260883660e-11
4249.644152759 	 8.944151542e-12 	                  5.741103909e-12 	                  1.244601598e-11
4299.101425422 	 8.821338918e-12 	                  5.648319510e-12 	                  1.228602010e-11
4349.134280824 	 8.700212642e-12 	                  5.556777499e-12 	                  1.212808099e-11
4399.749417585 	 8.580749556e-12 	                  5.466307339e-12 	                  1.197218694e-11
4450.953612283 	 8.462926825e-12 	                  5.377310129e-12 	                  1.181831053e-11
4502.753720363 	 8.346721924e-12 	                  5.289761886e-12 	                  1.166641186e-11
4555.156677053 	 8.232112638e-12 	                  5.203193871e-12 	                  1.151678170e-11
4608.169498293 	 8.119077059e-12 	                  5.117875522e-12 	                  1.136963847e-11
4661.799281673 	 8.007593577e-12 	                  5.033956164e-12 	                  1.122478615e-11
4716.053207387 	 7.897640881e-12 	                  4.951412857e-12 	                  1.108179157e-11
4770.938539191 	 7.789197952e-12 	                  4.869745898e-12 	                  1.094072675e-11
4826.462625376 	 7.682244058e-12 	                  4.789345453e-12 	                  1.080177942e-11
4882.632899753 	 7.576758753e-12 	                  4.710272435e-12 	                  1.066533917e-11
4939.456882646 	 7.472721873e-12 	                  4.632169555e-12 	                  1.053066714e-11
4996.942181902 	 7.370113530e-12 	                  4.555180884e-12 	                  1.039770110e-11
5055.096493908 	 7.268914106e-12 	                  4.479471799e-12 	                  1.026644476e-11
5113.927604620 	 7.169104258e-12 	                  4.405021031e-12 	                  1.013699258e-11
5173.443390609 	 7.070664903e-12 	                  4.331807667e-12 	                  1.000980201e-11
5233.651820110 	 6.973577225e-12 	                  4.259811142e-12 	                  9.884207325e-12
5294.560954096 	 6.877822663e-12 	                  4.189011230e-12 	                  9.760312705e-12
5356.178947351 	 6.783382912e-12 	                  4.119022781e-12 	                  9.638117602e-12
5418.514049564 	 6.690239918e-12 	                  4.050130253e-12 	                  9.517452332e-12
5481.574606436 	 6.598375876e-12 	                  3.982389985e-12 	                  9.398607989e-12
5545.369060793 	 6.507773223e-12 	                  3.915782703e-12 	                  9.281442531e-12
5609.905953718 	 6.418414641e-12 	                  3.850289458e-12 	                  9.166201650e-12
5675.193925698 	 6.330283046e-12 	                  3.785891617e-12 	                  9.052391632e-12
5741.241717774 	 6.243361591e-12 	                  3.722385258e-12 	                  8.940040056e-12
5808.058172719 	 6.157633659e-12 	                  3.659752258e-12 	                  8.829234453e-12
5875.652236214 	 6.073082861e-12 	                  3.598173123e-12 	                  8.720131441e-12
5944.032958052 	 5.989693036e-12 	                  3.537630121e-12 	                  8.612718021e-12
6013.209493348 	 5.907448240e-12 	                  3.478105818e-12 	                  8.506627705e-12
6083.191103761 	 5.826332752e-12 	                  3.419583073e-12 	                  8.401849561e-12
6153.987158741 	 5.746331065e-12 	                  3.362045034e-12 	                  8.298369551e-12
6225.607136776 	 5.667427886e-12 	                  3.305439842e-12 	                  8.196164035e-12
6298.060626666 	 5.589608130e-12 	                  3.249505468e-12 	                  8.095579490e-12
6371.357328805 	 5.512856922e-12 	                  3.194517611e-12 	                  7.996478093e-12
6445.507056481 	 5.437159588e-12 	                  3.140460254e-12 	                  7.898732392e-12
6520.519737188 	 5.362501659e-12 	                  3.087317650e-12 	                  7.802205491e-12
6596.405413954 	 5.288868862e-12 	                  3.035074322e-12 	                  7.706858204e-12
6673.174246691 	 5.216247120e-12 	                  2.983715050e-12 	                  7.613094778e-12
6750.836513551 	 5.144622552e-12 	                  2.933224876e-12 	                  7.520533521e-12
6829.402612300 	 5.073981464e-12 	                  2.883589092e-12 	                  7.429327020e-12
6908.883061718 	 5.004310353e-12 	                  2.834587650e-12 	                  7.339226640e-12
6989.288502997 	 4.935595900e-12 	                  2.786362862e-12 	                  7.250291401e-12
7070.629701175 	 4.867824969e-12 	                  2.738958522e-12 	                  7.162646174e-12
7152.917546572 	 4.800984603e-12 	                  2.692360671e-12 	                  7.076060447e-12
7236.163056248 	 4.735062027e-12 	                  2.646555588e-12 	                  6.990521413e-12
7320.377375482 	 4.670044637e-12 	                  2.601529786e-12 	                  6.906016418e-12
7405.571779259 	 4.605920004e-12 	                  2.557270008e-12 	                  6.822532963e-12
7491.757673783 	 4.542675870e-12 	                  2.513763220e-12 	                  6.740373727e-12
7578.946598004 	 4.480300144e-12 	                  2.470996612e-12 	                  6.659353694e-12
7667.150225160 	 4.418780903e-12 	                  2.428946457e-12 	                  6.579764253e-12
7756.380364345 	 4.358106386e-12 	                  2.387413889e-12 	                  6.501126028e-12
7846.648962084 	 4.298264994e-12 	                  2.346591487e-12 	                  6.423506872e-12
7937.968103938 	 4.239245287e-12 	                  2.306467108e-12 	                  6.346963750e-12
8030.350016116 	 4.181035984e-12 	                  2.267028816e-12 	                  6.271649023e-12
8123.807067119 	 4.123625955e-12 	                  2.228264879e-12 	                  6.197228000e-12
8218.351769391 	 4.067004226e-12 	                  2.190163767e-12 	                  6.123699618e-12
8313.996780995 	 4.011159973e-12 	                  2.152714146e-12 	                  6.051078042e-12
8410.754907308 	 3.956082521e-12 	                  2.115904876e-12 	                  5.979622943e-12
8508.639102738 	 3.901761340e-12 	                  2.079725008e-12 	                  5.909163830e-12
8607.662472454 	 3.848186046e-12 	                  2.044163780e-12 	                  5.839534952e-12
8707.838274142 	 3.795346398e-12 	                  2.009124808e-12 	                  5.770728437e-12
8809.179919784 	 3.743232293e-12 	                  1.974607717e-12 	                  5.702734137e-12
8911.700977448 	 3.691833770e-12 	                  1.940683635e-12 	                  5.635791615e-12
9015.415173106 	 3.641141003e-12 	                  1.907342375e-12 	                  5.569818292e-12
9120.336392474 	 3.591144301e-12 	                  1.874573923e-12 	                  5.504634160e-12
9226.478682871 	 3.541834107e-12 	                  1.842368438e-12 	                  5.440216350e-12
9333.856255095 	 3.493200993e-12 	                  1.810716249e-12 	                  5.376552388e-12
9442.483485333 	 3.445235663e-12 	                  1.779607850e-12 	                  5.313972128e-12
9552.374917078 	 3.397928948e-12 	                  1.749033897e-12 	                  5.252175573e-12
9663.545263082 	 3.351271804e-12 	                  1.718985211e-12 	                  5.191125736e-12
9776.009407324 	 3.305255311e-12 	                  1.689452765e-12 	                  5.130785525e-12
9889.782407000 	 3.259870674e-12 	                  1.660427692e-12 	                  5.071187632e-12
10004.879494545 	 3.215109215e-12 	                  1.631901275e-12 	                  5.012599493e-12
10121.316079666 	 3.170962378e-12 	                  1.603864945e-12 	                  4.954696491e-12
10239.107751409 	 3.127421724e-12 	                  1.576292721e-12 	                  4.897485263e-12
10358.270280243 	 3.084478929e-12 	                  1.549097917e-12 	                  4.840934645e-12
10478.819620178 	 3.042125784e-12 	                  1.522367469e-12 	                  4.785126688e-12
10600.771910891 	 3.000354192e-12 	                  1.496098268e-12 	                  4.730216831e-12
10724.143479896 	 2.959156168e-12 	                  1.470282355e-12 	                  4.675952679e-12
10848.950844725 	 2.918523836e-12 	                  1.444911909e-12 	                  4.622311035e-12
10975.210715141 	 2.878449429e-12 	                  1.419979242e-12 	                  4.569396835e-12
11102.939995373 	 2.838925286e-12 	                  1.395476800e-12 	                  4.517305149e-12
11232.155786385 	 2.799943851e-12 	                  1.371397160e-12 	                  4.465807314e-12
11362.875388158 	 2.761497672e-12 	                  1.347733026e-12 	                  4.414897780e-12
11495.116302011 	 2.723579400e-12 	                  1.324477229e-12 	                  4.364575976e-12
