Energy [GeV] 	 E^2.flux (best-fit) [TeVcm^(-2)s^(-1)] 	 E^2.flux (68%-low) [TeVcm^(-2)s^(-1)] 	 E^2.flux (68%-up) [TeVcm^(-2)s^(-1)]
40000.000000000 	 2.709220097e-13 	                  1.480203462e-14 	                  7.632225715e-13
40936.456084218 	 2.711235759e-13 	                  1.500899339e-14 	                  7.595255628e-13
41894.835918378 	 2.713252920e-13 	                  1.521884582e-14 	                  7.559003168e-13
42875.652768205 	 2.715271582e-13 	                  1.543163235e-14 	                  7.523700924e-13
43879.431915695 	 2.717291746e-13 	                  1.564739402e-14 	                  7.490222260e-13
44906.710940433 	 2.719313413e-13 	                  1.586617242e-14 	                  7.457050801e-13
45958.040007492 	 2.721336584e-13 	                  1.608800973e-14 	                  7.424026246e-13
47033.982162086 	 2.723361260e-13 	                  1.631294872e-14 	                  7.391189598e-13
48135.113631104 	 2.725387442e-13 	                  1.654103276e-14 	                  7.358930742e-13
49262.024131713 	 2.727415132e-13 	                  1.677230582e-14 	                  7.327229809e-13
50415.317187189 	 2.729444331e-13 	                  1.700681248e-14 	                  7.296474231e-13
51595.610450132 	 2.731475039e-13 	                  1.724459797e-14 	                  7.266214758e-13
52803.536033257 	 2.733507259e-13 	                  1.748570812e-14 	                  7.236669312e-13
54039.740847921 	 2.735540990e-13 	                  1.773018942e-14 	                  7.207889167e-13
55304.886950586 	 2.737576234e-13 	                  1.797808901e-14 	                  7.179572105e-13
56599.651897383 	 2.739612993e-13 	                  1.822945467e-14 	                  7.152114526e-13
57924.729106981 	 2.741651267e-13 	                  1.848433487e-14 	                  7.125220985e-13
59280.828231954 	 2.743691057e-13 	                  1.874277875e-14 	                  7.098832636e-13
60668.675538837 	 2.745732365e-13 	                  1.900483613e-14 	                  7.073329577e-13
62089.014297082 	 2.747775192e-13 	                  1.927055754e-14 	                  7.048243938e-13
63542.605177122 	 2.749819538e-13 	                  1.953999421e-14 	                  7.024572177e-13
65030.226657752 	 2.751865406e-13 	                  1.981319809e-14 	                  7.001104809e-13
66552.675443045 	 2.753912795e-13 	                  2.009022184e-14 	                  6.977715840e-13
68110.766889036 	 2.755961708e-13 	                  2.037111887e-14 	                  6.955228514e-13
69705.335440386 	 2.758012146e-13 	                  2.065594335e-14 	                  6.932917284e-13
71337.235077276 	 2.760064109e-13 	                  2.094475017e-14 	                  6.911297172e-13
73007.339772762 	 2.762117598e-13 	                  2.123759503e-14 	                  6.889931382e-13
74716.543960831 	 2.764172615e-13 	                  2.153453439e-14 	                  6.869414110e-13
76465.763015428 	 2.766229162e-13 	                  2.183562548e-14 	                  6.849278885e-13
78255.933740683 	 2.768287238e-13 	                  2.214092636e-14 	                  6.829711386e-13
80088.014872623 	 2.770346846e-13 	                  2.245049589e-14 	                  6.810787832e-13
81962.987592634 	 2.772407985e-13 	                  2.276439376e-14 	                  6.792185738e-13
83881.856052929 	 2.774470659e-13 	                  2.308268047e-14 	                  6.774425260e-13
85845.647914336 	 2.776534867e-13 	                  2.340541740e-14 	                  6.757011273e-13
87855.414896662 	 2.778600611e-13 	                  2.373266677e-14 	                  6.740160620e-13
89912.233341949 	 2.780667891e-13 	                  2.406449166e-14 	                  6.723919906e-13
92017.204790917 	 2.782736710e-13 	                  2.440095606e-14 	                  6.707989212e-13
94171.456572897 	 2.784807068e-13 	                  2.474212482e-14 	                  6.692884937e-13
96376.142409581 	 2.786878966e-13 	                  2.508806374e-14 	                  6.678165814e-13
98632.443032904 	 2.788952406e-13 	                  2.543883949e-14 	                  6.663937292e-13
100941.566817391 	 2.791027389e-13 	                  2.579451971e-14 	                  6.650299540e-13
103304.750427307 	 2.793103915e-13 	                  2.615517298e-14 	                  6.636963179e-13
105723.259478964 	 2.795181986e-13 	                  2.652086882e-14 	                  6.624429959e-13
108198.389218526 	 2.797261603e-13 	                  2.689167773e-14 	                  6.612224862e-13
110731.465215683 	 2.799342768e-13 	                  2.726767122e-14 	                  6.600539264e-13
113323.844073573 	 2.801425481e-13 	                  2.764892176e-14 	                  6.589458814e-13
115976.914155315 	 2.803509743e-13 	                  2.803550287e-14 	                  6.578682899e-13
118692.096327555 	 2.805595556e-13 	                  2.842748906e-14 	                  6.568650559e-13
121470.844721418 	 2.807682921e-13 	                  2.882495592e-14 	                  6.558995193e-13
124314.647511281 	 2.809771839e-13 	                  2.922798008e-14 	                  6.549787625e-13
127225.027711765 	 2.811862311e-13 	                  2.963663922e-14 	                  6.541249490e-13
130203.543993402 	 2.813954339e-13 	                  3.005101215e-14 	                  6.533918136e-13
133251.791517387 	 2.816047922e-13 	                  3.047117875e-14 	                  6.527121480e-13
136371.402789873 	 2.818143064e-13 	                  3.089722003e-14 	                  6.520331894e-13
139564.048536271 	 2.820239764e-13 	                  3.132921812e-14 	                  6.513549371e-13
142831.438596019 	 2.822338025e-13 	                  3.176725631e-14 	                  6.507458555e-13
146175.322838290 	 2.824437846e-13 	                  3.221141906e-14 	                  6.501478922e-13
149597.492099152 	 2.826539230e-13 	                  3.266179199e-14 	                  6.496017069e-13
153099.779140653 	 2.828642177e-13 	                  3.311846194e-14 	                  6.490834935e-13
156684.059632370 	 2.830746688e-13 	                  3.358151694e-14 	                  6.486213917e-13
160352.253155939 	 2.832852766e-13 	                  3.405104628e-14 	                  6.481826106e-13
164106.324233088 	 2.834960410e-13 	                  3.452714047e-14 	                  6.478128876e-13
